dateStr time radId
20120123 200 205.0
20120123 230 206.0
20120123 230 204.0
20120123 230 207.0
20120123 230 32.0
20120123 530 205.0
20120123 530 32.0
20120123 530 206.0
20120123 530 204.0
20120123 530 207.0
20120123 600 205.0
20120123 600 206.0
20120123 600 207.0
20120123 600 204.0
20120123 630 205.0
20120123 630 206.0
20120123 630 204.0
20120123 630 207.0
20120124 200 206.0
20120124 200 207.0
20120124 200 204.0
20120124 200 205.0
20120124 200 32.0
20120124 230 204.0
20120124 230 206.0
20120124 230 207.0
20120124 230 205.0
20120124 230 32.0
20120124 300 206.0
20120124 300 204.0
20120124 300 207.0
20120124 300 33.0
20120124 300 205.0
20120124 300 32.0
20120124 330 204.0
20120124 330 206.0
20120124 330 207.0
20120124 330 33.0
20120124 330 205.0
20120124 400 206.0
20120124 400 207.0
20120124 400 204.0
20120124 400 33.0
20120124 400 205.0
20120124 400 32.0
20120124 430 206.0
20120124 430 204.0
20120124 430 207.0
20120124 430 33.0
20120124 430 205.0
20120124 500 206.0
20120124 500 204.0
20120124 500 207.0
20120124 500 205.0
20120124 500 33.0
20120124 530 33.0
20120124 530 206.0
20120124 530 207.0
20120124 530 204.0
20120124 530 205.0
20120124 630 33.0
20120124 630 207.0
20120124 630 206.0
20120124 630 204.0
20120125 230 206.0
20120125 230 207.0
20120125 230 33.0
20120125 230 205.0
20120125 230 32.0
20120125 300 207.0
20120125 300 33.0
20120125 300 205.0
20120125 300 32.0
20120125 330 204.0
20120125 330 207.0
20120125 330 33.0
20120125 330 205.0
20120125 330 32.0
20120125 400 206.0
20120125 400 207.0
20120125 400 204.0
20120125 400 205.0
20120125 400 32.0
20120125 430 32.0
20120125 430 206.0
20120125 430 204.0
20120125 430 207.0
20120125 430 205.0
20120125 500 206.0
20120125 500 204.0
20120125 500 207.0
20120125 500 205.0
20120125 500 33.0
20120125 630 205.0
20120125 630 206.0
20120125 630 204.0
20120125 630 207.0
20120204 630 33.0
20120204 630 205.0
20120204 630 206.0
20120204 630 207.0
20120204 630 204.0
20120207 500 32.0
20120207 500 206.0
20120207 500 207.0
20120207 500 204.0
20120207 500 205.0
20120207 500 33.0
20120207 530 206.0
20120207 530 207.0
20120207 530 204.0
20120207 530 33.0
20120207 530 205.0
20120214 600 205.0
20120214 600 206.0
20120214 600 207.0
20120214 600 33.0
20120214 630 205.0
20120214 630 33.0
20120214 630 32.0
20120214 630 206.0
20120214 630 207.0
20120214 700 205.0
20120214 700 207.0
20120214 700 33.0
20120214 700 32.0
20120214 700 206.0
20120214 730 207.0
20120214 730 33.0
20120214 730 205.0
20120214 730 32.0
20120215 300 204.0
20120215 300 206.0
20120215 300 207.0
20120215 300 205.0
20120219 400 32.0
20120219 400 206.0
20120219 400 207.0
20120219 400 204.0
20120219 400 33.0
20120219 400 205.0
20120219 430 32.0
20120219 430 206.0
20120219 430 204.0
20120219 430 207.0
20120219 430 205.0
20120219 430 33.0
20120219 500 32.0
20120219 500 205.0
20120219 500 206.0
20120219 500 207.0
20120219 500 204.0
20120219 500 33.0
20120219 530 205.0
20120219 530 206.0
20120219 530 204.0
20120219 530 207.0
20120219 530 33.0
20120219 630 33.0
20120219 630 206.0
20120219 630 204.0
20120219 630 207.0
20120220 400 204.0
20120220 400 207.0
20120220 400 33.0
20120220 400 205.0
20120220 500 206.0
20120220 500 207.0
20120220 500 33.0
20120220 500 204.0
20120220 600 206.0
20120220 600 204.0
20120220 600 207.0
20120220 600 33.0
20120222 430 32.0
20120222 430 204.0
20120222 430 206.0
20120222 430 207.0
20120222 430 33.0
20120222 430 205.0
20120222 500 206.0
